Nick Damore,1942,1942,1,,1,0,0,3,,,,3.00,0,60,,,,,,0,0,0,0,0.0,0.0,0.2,0.2
Jean-Francois Damphousse,2002,2002,6,,1,3,0,12,115,103,.896,2.45,0,294,,,,,,0,0,0,0,0.0,0.0,0.5,0.5
Yann Danis,2006,2013,53,35,17,21,4,123,1363,1240,.910,2.75,3,2681,21,.600,8,,,0,0,0,0,0.0,0.0,8.4,8.4
Scott Darling,2015,2015,11,10,7,3,0,20,325,305,.938,1.84,1,653,8,.800,0,,,0,0,0,0,0.0,0.0,2.9,2.9
Cleon Daskalakis,1985,1987,12,,3,4,1,41,255,214,.839,4.86,0,506,,,,,,0,0,0,0,0.0,0.0,0.7,0.7
John Davidson,1974,1983,301,,123,124,39,1004,,,,3.52,7,17109,,,,,,0,7,7,60,0.0,0.0,42.9,42.9
Bob DeCourcy,1948,1948,1,,0,1,0,6,,,,12.41,0,29,,,,,,0,0,0,0,0.0,0.0,-0.4,-0.4
Norm Defelice,1957,1957,10,,3,5,2,30,,,,3.00,0,600,,,,,,0,0,0,2,0.0,0.0,1.3,1.3
Denis DeJordy,1963,1974,316,,124,128,51,929,,,,3.13,15,17798,,,,,,0,3,3,2,0.0,0.0,43.9,43.9
Mark Dekanich,2011,2011,1,0,0,0,0,3,25,22,.880,3.60,0,50,0,,0,,,0,0,0,0,0.0,0.0,0.1,0.1
Matt DelGuidice,1991,1992,11,,2,5,1,28,246,218,.886,3.87,0,434,,,,,,0,0,0,2,0.0,0.0,1.3,1.3
Marc Denis,1997,2009,349,4,112,179,31,982,10044,9062,.902,3.02,16,19526,1,.250,0,,,0,6,6,32,0.0,0.0,56.2,56.2
Philippe DeRouville,1995,1997,3,,1,2,0,9,93,84,.903,3.16,0,171,,,,,,0,0,0,0,0.0,0.0,0.5,0.5
Cedrick Desjardins,2011,2014,6,4,2,4,0,12,149,137,.919,2.42,0,298,2,.500,0,,,0,0,0,2,0.0,0.0,1.0,1.0
Gerry Desjardins,1969,1978,331,,122,153,44,1042,,,,3.29,12,19014,,,,,,0,3,3,39,0.0,0.0,47.4,47.4
Jeff Deslauriers,2009,2012,62,58,23,32,4,193,1944,1751,.901,3.24,3,3579,27,.466,13,,,0,4,4,8,0.0,0.0,9.4,9.4
Patrick DesRochers,2002,2003,11,,2,6,1,33,258,225,.872,3.67,0,540,,,,,,0,0,0,2,0.0,0.0,0.5,0.5
Bill Dickie,1942,1942,1,,1,0,0,3,,,,3.00,0,60,,,,,,0,0,0,0,0.0,0.0,0.2,0.2
Connie Dion,1944,1945,38,,23,11,4,119,,,,3.13,1,2280,,,,,,0,0,0,0,0.0,0.0,8.6,8.6
Michel Dion,1980,1985,227,,60,118,32,898,1253,1072,.856,4.24,2,12695,,,,,,0,6,6,24,0.0,0.0,29.8,29.8
Rick DiPietro,2001,2013,318,108,130,136,36,871,8915,8044,.902,2.87,16,18199,40,.370,24,,,0,19,19,129,0.0,0.0,49.3,49.3
Reinhard Divis,2002,2006,28,,6,9,3,67,560,493,.880,3.32,0,1212,,,,,,0,0,0,2,0.0,0.0,1.8,1.8
Dolly Dolson,1929,1931,93,,35,41,17,192,,,,1.98,16,5820,,,,,,0,0,0,0,0.0,0.0,15.0,15.0
Louis Domingue,2015,2015,5,3,1,1,1,10,113,103,.912,2.64,0,227,2,.667,0,,,0,0,0,0,0.0,0.0,0.6,0.6
Rob Dopson,1994,1994,2,,0,0,0,3,23,20,.870,4.00,0,45,,,,,,0,0,0,0,0.0,0.0,0.1,0.1
Bruce Dowie,1984,1984,2,,0,1,0,4,43,39,.907,3.33,0,72,,,,,,0,0,0,0,0.0,0.0,0.3,0.3
Tom Draper,1989,1996,53,,19,23,5,173,1407,1234,.877,3.70,1,2807,,,,,,0,3,3,4,0.0,0.0,6.4,6.4
Chris Driedger,2015,2015,1,,0,0,0,0,10,10,1.000,0.00,0,23,,,,,,0,0,0,0,0.0,0.0,0.2,0.2
Dave Dryden,1962,1980,203,,66,76,31,555,,,,3.19,9,10424,,,,,,0,4,4,4,0.0,0.0,26.7,26.7
Ken Dryden*,1971,1979,397,,258,57,74,870,,,,2.24,46,23352,,,,,,0,19,19,12,0.0,0.0,98.5,98.5
Wade Dubielewicz,2004,2010,43,20,18,16,2,97,1131,1034,.914,2.65,0,2196,11,.550,2,,,0,0,0,0,0.0,0.0,7.8,7.8
Devan Dubnyk,2010,2015,226,208,96,88,25,572,6635,6063,.914,2.69,14,12739,111,.534,32,,,0,3,3,10,0.0,0.0,40.6,40.6
Jeremy Duchesne,2010,2010,1,0,0,0,0,1,4,3,.750,3.53,0,17,0,,0,,,0,0,0,0,0.0,0.0,-0.1,-0.1
Parris Duffus,1997,1997,1,,0,0,0,1,8,7,.875,2.07,0,29,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
Michel Dumas,1975,1977,8,,2,1,2,24,,,,3.98,0,362,,,,,,0,1,1,0,0.0,0.0,0.6,0.6
Mike Dunham,1997,2007,394,,141,178,44,989,10701,9712,.908,2.74,19,21653,,,,,,0,5,5,16,0.0,0.0,65.4,65.4
Bob Dupuis,1980,1980,1,,0,1,0,4,,,,4.00,0,60,,,,,,0,0,0,0,0.0,0.0,0.1,0.1
Bill Durnan*,1944,1950,383,,208,112,62,901,,,,2.36,34,22945,,,,,,0,1,1,7,0.0,0.0,90.8,90.8
Ed Dyck,1972,1974,49,,8,28,5,178,,,,4.35,1,2453,,,,,,0,0,0,0,0.0,0.0,2.4,2.4
Don Edwards,1977,1986,459,,208,155,74,1449,3215,2783,.866,3.32,16,26181,,,,,,0,14,14,42,0.0,0.0,84.9,84.9
Gary Edwards,1969,1982,286,,88,125,51,973,,,,3.65,10,16002,,,,,,0,7,7,48,0.0,0.0,36.3,36.3
Marv Edwards,1969,1974,61,,15,34,7,218,,,,3.77,2,3467,,,,,,0,3,3,34,0.0,0.0,5.8,5.8
Roy Edwards,1968,1974,236,,97,88,38,637,,,,2.92,12,13109,,,,,,0,2,2,6,0.0,0.0,37.2,37.2
Brian Eklund,2006,2006,1,,0,1,0,3,19,16,.842,3.10,0,58,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
Darren Eliot,1985,1989,89,,25,41,12,377,2536,2159,.851,4.59,1,4931,,,,,,0,2,2,24,0.0,0.0,8.9,8.9
